None,ticker,date,close,volume
52,TWTR,2018-01-10,24.25,10395506.0
53,TWTR,2018-01-09,24.17,12550142.0
54,TWTR,2018-01-08,24.59,17803434.0
55,TWTR,2018-01-05,24.32,14934356.0
56,TWTR,2018-01-04,23.99,17620709.0
57,TWTR,2018-01-03,24.45,12792471.0
58,TWTR,2018-01-02,24.51,15283036.0
59,SBUX,2018-03-27,57.46,7219644.0
60,SBUX,2018-03-26,57.8,8377405.0
61,SBUX,2018-03-23,56.31,9104875.0
62,SBUX,2018-03-22,57.77,6737470.0
63,SBUX,2018-03-21,58.47,6473479.0
64,SBUX,2018-03-20,58.66,5763174.0
65,SBUX,2018-03-19,58.3,8772712.0
66,SBUX,2018-03-16,59.0,12133906.0
67,SBUX,2018-03-15,59.37,7347864.0
68,SBUX,2018-03-14,58.83,6473498.0
69,SBUX,2018-03-13,59.05,10349057.0
70,SBUX,2018-03-12,59.4,10526829.0
71,SBUX,2018-03-09,58.46,8934513.0
72,SBUX,2018-03-08,57.47,7220649.0
73,SBUX,2018-03-07,57.03,7044099.0
74,SBUX,2018-03-06,57.03,8046794.0
75,SBUX,2018-03-05,56.99,7835398.0
76,SBUX,2018-03-02,56.93,11555132.0
77,SBUX,2018-03-01,56.17,11127627.0
78,SBUX,2018-02-28,57.1,11207553.0
79,SBUX,2018-02-27,56.57,8770432.0
80,SBUX,2018-02-26,57.17,8590227.0
81,SBUX,2018-02-23,56.14,11209477.0
82,SBUX,2018-02-22,55.4,10127622.0
83,SBUX,2018-02-21,56.1,7795338.0
84,SBUX,2018-02-20,55.97,9357795.0
85,SBUX,2018-02-16,56.48,10099667.0
86,SBUX,2018-02-15,56.58,10271457.0
87,SBUX,2018-02-14,55.99,14098533.0
88,SBUX,2018-02-13,55.67,8937163.0
89,SBUX,2018-02-12,55.38,10928389.0
90,SBUX,2018-02-09,54.54,18304362.0
91,SBUX,2018-02-08,53.77,15689415.0
92,SBUX,2018-02-07,54.46,13737297.0
93,SBUX,2018-02-06,55.6,17197963.0
94,SBUX,2018-02-05,54.85,13956346.0
95,SBUX,2018-02-02,55.77,15236577.0
96,SBUX,2018-02-01,56.0,14628946.0
97,SBUX,2018-01-31,56.805,12984489.0
98,SBUX,2018-01-30,57.19,14232179.0
99,SBUX,2018-01-29,57.02,18709513.0
100,SBUX,2018-01-26,57.99,51159714.0
101,SBUX,2018-01-25,60.55,13009129.0
102,SBUX,2018-01-24,60.83,11764779.0
103,SBUX,2018-01-23,61.69,10519161.0
104,SBUX,2018-01-22,61.41,11664335.0
105,SBUX,2018-01-19,61.26,8138401.0
106,SBUX,2018-01-18,61.09,8906539.0
107,SBUX,2018-01-17,60.66,8250221.0
108,SBUX,2018-01-16,60.56,7861835.0
109,SBUX,2018-01-12,60.4,6927724.0
110,SBUX,2018-01-11,60.0,5742148.0
111,SBUX,2018-01-10,59.82,8614583.0
112,SBUX,2018-01-09,59.18,5176826.0
113,SBUX,2018-01-08,59.31,6291099.0
114,SBUX,2018-01-05,59.61,5996343.0
115,SBUX,2018-01-04,58.93,5723756.0
116,SBUX,2018-01-03,58.71,7417389.0
117,SBUX,2018-01-02,57.63,7199959.0
118,IVZ,2018-03-27,31.36,3904282.0
119,IVZ,2018-03-26,32.13,3999667.0
120,IVZ,2018-03-23,30.72,2925322.0
121,IVZ,2018-03-22,31.45,3983274.0
122,IVZ,2018-03-21,32.94,3744124.0
123,IVZ,2018-03-20,32.53,2888729.0
124,IVZ,2018-03-19,32.64,3390495.0
125,IVZ,2018-03-16,33.2,10855867.0
126,IVZ,2018-03-15,32.92,5065433.0
127,IVZ,2018-03-14,33.27,4175675.0
128,IVZ,2018-03-13,34.11,2831723.0
129,IVZ,2018-03-12,34.52,4189639.0
130,IVZ,2018-03-09,34.52,3514480.0
131,IVZ,2018-03-08,33.9,5522825.0
